DepartmentID,Game Score,Total Score,Month,Year,Weeks Completed,Max Weeks,Yearly Score,Week 1,Week 2,Week 3,Week 4,Week 5
elate,53.76,268.8,7,2026,3,5,89.6,95.6,71,102.2,0,0
nectar,62.64,313.2,7,2026,3,5,104.4,104,105,104.2,0,0
pier-top,33,165,7,2026,3,5,55,43,73,49,0,0
pool,35.64,178.2,7,2026,3,5,59.4,95.2,31,52,0,0
spa,47.64,238.2,7,2026,3,5,79.4,60,75,103.2,0,0
windows,63.6,318,7,2026,3,5,106,108,104,106,0,0
calusso,51.3333333333333,256.666666666667,7,2026,3,5,85.6,106.666666666667,75,75,0,0
reservations,40.8,204,7,2026,3,5,68,30,73.0000000000001,101,0,0
ird,62.6,313,7,2026,3,5,104.3,104.8,103.6,104.6,0,0
garni,60.24,301.2,7,2026,3,5,100.4,94.6,103.6,103,0,0
sotogrande,34.2,171,7,2026,3,5,57,61,40,70,0,0
saltbreeze,48.2,241,7,2026,3,5,80.3,103,63,75,0,0
saltbreeze-boh,51.8,259,7,2026,3,5,86.3,83,103,73,0,0
windows-ird-boh,55.8,279,7,2026,3,5,93,103,73,103,0,0
security,57,285,7,2026,3,5,95,100,80,105,0,0
guest-services,57.8,289,7,2026,3,5,96.3,103,103,83,0,0
bell-service,53.8,269,7,2026,3,5,89.7,83,103,83,0,0
pastry,62,310,7,2026,3,5,103.3,105,100,105,0,0
stewarding,52,260,7,2026,3,5,86.7,105,50,105,0,0
housekeeping,30,150,7,2026,3,5,50,50,50,50,0,0
engineering,60,300,7,2026,3,5,100,100,100,100,0,0
front-office,53.8,269,7,2026,3,5,89.7,83,103,83,0,0
banquets-foh,60.6,303,7,2026,3,5,101,103,100,100,0,0
sotogrande-boh,63,315,7,2026,3,5,105,105,105,105,0,0
banquets-boh,14,70,7,2026,2,5,23.3,20,0,50,0,0
pier-top-boh,20,100,7,2026,3,5,33.3,20,30,50,0,0
garni-boh,47.8,239,7,2026,3,5,79.7,83,53,103,0,0
calusso-boh,36,180,7,2026,2,5,60,0,75,105,0,0
